Subject,Label,Generated body
Your account is about to be suspended.,Spam,"[{'generated_text': ""Your account is about to be suspended. If you've saved your account it will expire Tuesday, November <NUMBER>, <NUMBER> at <NUMBER>:<NUMBER> AM Eastern Standard Time. Please change your password if you do not""}]"
Verify your account.,Spam,[{'generated_text': 'Verify your account.\nWe will monitor your pending business registration and please delete any and all of the messages that it received from your Account in connection with any action taken by U.S. agencies. You may not have any prior legal or financial'}]
Update your account information.,Spam,"[{'generated_text': 'Update your account information. If you would like to access this email in any other manner, please click here.\nThank you for your help.\nSent from a device that cannot spell for you or any other user, please add <EMAIL>'}]"
Important security alert.,Spam,"[{'generated_text': ""Important security alert.\nIn case you would like to attend EWS conference call, I will be back when I leave for London early next week.\nThis morning's conference call came to a close, but I want to get the timing right...""}]"
Limited-time offer: Get 50% off all products!,Spam,[{'generated_text': 'Limited-time offer: Get 50% off all products!\nTag Your Box Score and Other Amazon\nSave <NUMBER>%\n<CUR><NUMBER>\nAmazon.com\n<URL>\n<URL>\nTHE W'}]
Free shipping on all orders over $50!,Spam,"[{'generated_text': 'Free shipping on all orders over $50!\nWe have been able to get you back by using the promo code ""Gift Cards"" in your credit card.\nYou\'re receiving a gift card because you receive this gift card with ""Gift'}]"
New product release: The all-new iPhone 14!,Spam,"[{'generated_text': 'New product release: The all-new iPhone 14!\nRelease Date\nApril <NUMBER>, <NUMBER>\nAvailable for\n<URL>\nRelease Date: November <NUMBER>\nAvailable for <URL>\nRelease Date:'}]"
You're pre-approved for a credit card!,Spam,"[{'generated_text': ""You're pre-approved for a credit card!\nIf you would like to receive fewer credit cards, you must first notify us immediately.\nThank you for your continued support of The Daily <COMPANY>.\nThanks,\nPeter\nAndrew""}]"
Apply now for a loan with low interest rates!,Spam,"[{'generated_text': 'Apply now for a loan with low interest rates!\nIf you need any additional information, e-mail us at <EMAIL> or call <PHONE>.\nThanks!\nRegards,\n<EMAIL>\nPaul G. We'}]"
Get a free quote on auto insurance!,Spam,"[{'generated_text': 'Get a free quote on auto insurance! If you are considering purchasing auto insurance for one year, get in touch with us to discuss whether or not the insurance should be renewed.\nIf you are not the only car insured in California, please visit the'}]"
Your social security number has been compromised.,Spam,"[{'generated_text': 'Your social security number has been compromised. Please advise if you have questions. Thank you.\nMisc.\n<PHONE>\n*****************************************************\n-----Original Message-----\nFrom: Pascal, Amy [mailto:<EMAIL>]'}]"
Your tax refund is ready!,Spam,"[{'generated_text': 'Your tax refund is ready!\nIt doesn\'t make sense to collect a tax refund on a tax refund if your taxes (the ""tax paid for"") exceed <NUMBER> percent of your gross expense.\nHow did that happen: you have'}]"
You've been selected for a jury duty.,Spam,"[{'generated_text': ""You've been selected for a jury duty.\nIn this case I am looking for the appropriate veteran to review the case.\nAs of now, the prosecutor and prosecutors I have been hired to handle the case and it has been decided that one of""}]"
You've been sued.,Spam,"[{'generated_text': ""You've been sued.\nTo date, the suits with <COMPANY> have not been successful.\nThe suit has been filed in Los Angeles Superior Court.\nThe two sides have faced over <COMPANY>'s use of""}]"
You've been subpoenaed.,Spam,"[{'generated_text': ""You've been subpoenaed.\nWe've learned they've identified individuals in some cases.\nWe'll have them appear in court before the district court.\nHave we been able to get them to sign the documents?\nIf so, we'll""}]"
Your car has been repossessed.,Spam,"[{'generated_text': 'Your car has been repossessed.\nThis is an unfortunate situation and I understand that your cars will be gone!\nOur lease covers all car dealership service in California.\nPlease let us know if you need more information.\nBest regards,'}]"
Your house has been foreclosed on.,Spam,"[{'generated_text': 'Your house has been foreclosed on.\n""I know you will find out.""\nThe next step is to secure or purchase a one bedroom home for <CUR>000K.\nMunicipal Court of Appeal Court is scheduled to hear'}]"
You've been fired from your job.,Spam,"[{'generated_text': 'You\'ve been fired from your job. But it\'s a different set of experiences for me than what I\'m accustomed to.""\nI spoke with Michael Davis, who has worked for the company\'s former HR head of HR as well as the former head'}]"
Your spouse is cheating on you.,Spam,"[{'generated_text': 'Your spouse is cheating on you. Can you help?\nIf you are having trouble viewing this email, click here.\nThis e-mail was sent to <EMAIL> by TheWrap. To ensure delivery to your inbox (and no'}]"
Your child is missing.,Spam,"[{'generated_text': 'Your child is missing.\nPlease call\nStephanie\nSent: Monday, October <NUMBER>, <NUMBER> <NUMBER>:<NUMBER> PM\nTo: Pascal, Amy; Minghella, Hannah\nCc'}]"
"Your bank account has been credited with $10,000!",Spam,"[{'generated_text': 'Your bank account has been credited with $10,000!\nHave another call with Scott.\n-----Original Message-----\nFrom: Scott Rudin [mailto:<EMAIL>]\nSent: Thursday, February <NUMBER>, <NUM'}]"
You've been selected to receive a government grant!,Spam,"[{'generated_text': ""You've been selected to receive a government grant!\nThis letter\nYou say...\n<NUMBER>, in an attempt to change any view of why you can apply for the government grant,\nyou say...\n<NUMBER>, in attempting""}]"
You're eligible for a free refund from the IRS!,Spam,"[{'generated_text': ""You're eligible for a free refund from the IRS!\nIf you have any questions or need additional information regarding our refund, please let us know.\nRegards,\nNancy\nima\n<NUMBER> West Washington Blvd.\nC""}]"
Your credit score has improved by 50 points!,Spam,"[{'generated_text': 'Your credit score has improved by 50 points!\nBest,\nScott Walker\nExecutive Vice President, Corporate Finance\n<NUMBER> Westlake Blvd\nPhiladelphia, PA <NUMBER>\n(phone: <PHONE>)\nDirect:'}]"
You've been approved for a new credit card with 0% APR!,Spam,"[{'generated_text': ""You've been approved for a new credit card with 0% APR!\n>\n>\n> <NUMBER>% APR\n> <NUMBER>% APR\n>\n>> On Behalf Of A Man In <NUMBER> Months""}]"
You've been invited to join an exclusive club!,Spam,"[{'generated_text': ""You've been invited to join an exclusive club!\nRegister now to win:\nPending that year's annual award winners will get an exclusive exclusive invitation to all of our Top Secret Societies and be able to talk from the outside world with you""}]"
You've won a trip to the Caribbean!,Spam,"[{'generated_text': ""You've won a trip to the Caribbean!\nDon't fret about the prices!\nWe'll be happy to give you the tour bus service to your hotel and a complimentary gift card to get a complimentary hotel book.\nBest wishes,\nPhil""}]"
You're the lucky winner of a new car!,Spam,"[{'generated_text': ""You're the lucky winner of a new car! Click here to sign up for the FREE <NUMBER> FREE car in honor of the 00th anniversary of the groundbreaking show.\nTo become a member, you can purchase one of our two free""}]"
You've been selected to participate in a clinical trial!,Spam,"[{'generated_text': ""You've been selected to participate in a clinical trial!\nThis clinical trial features the participation of <NUMBER> individuals to help promote the prevention, treatment, and implementation of common screening conditions.\nAbout <NUMBER> people live in areas of""}]"
Your investment has tripled in value!,Spam,"[{'generated_text': ""Your investment has tripled in value!\nIf you believe yourself or family member of a company you've purchased in the last <NUMBER> months you'll receive the following <CUR><NUMBER> in stock:\n<NUMBER>%""}]"
You're the sole heir to a vast fortune!,Spam,"[{'generated_text': ""You're the sole heir to a vast fortune! The other <NUMBER> percent ownership of S-Team <NUMBER> <NUMBER> <NUMBER>-<NUMBER> of Sony Pictures Entertainment is <NUMBER>% owned""}]"
You've been invited to a job interview at Google!,Spam,"[{'generated_text': ""You've been invited to a job interview at Google!\nThe first interview will air tonight, August 0th at <NUMBER>:<NUMBER>:<NUMBER> PM\nYour team is very grateful that we're so fortunate to have one""}]"
Your child has been accepted to Harvard!,Spam,"[{'generated_text': ""Your child has been accepted to Harvard!\nDear Amy,\nI had just passed my daughter, who has now been accepted into this year's Women's program.\nI've hadophyte and two daughters in the class, and so I just""}]"
You've been invited to speak at the UN!,Spam,"[{'generated_text': ""You've been invited to speak at the UN!\nYou know what we're doing and the climate is starting to change.\nWe can be as effective an institution as any.\nWe can be one of the first and the only countries, and""}]"
You're the next president of the United States!,Spam,"[{'generated_text': ""You're the next president of the United States!\nAnd now the Senate is sending a bill that would put a Democrat on the House Intelligence Committee and replace him with Steve Coogan, the director of the National Security Agency.\nWhy shouldn't we""}]"
Click here to claim your prize!,Spam,"[{'generated_text': 'Click here to claim your prize!\nWe have <PHONE> and all our games sent to you.\nWe have <EMAIL> of the best,\nSara\nand she is amazing.\nSara\n-She is such'}]"
Act now to avoid missing out!,Spam,"[{'generated_text': ""Act now to avoid missing out!\nI just learned that the new book is now coming out and is being promoted to the New York Times Bestsellers.\nAs a result I'm so proud of what I've seen in my book and how""}]"
Don't miss this limited-time offer!,Spam,"[{'generated_text': 'Don\'t miss this limited-time offer!\nClick here for online sales and select the ""Order Offer.""\nThis offer can only be redeemed through <NUMBER> or higher to cover travel costs or discounts that are specified via your order.\n'}]"
This is your last chance!,Spam,"[{'generated_text': ""This is your last chance!\nJust got that email.\nHere's what I hope you are doing with them.\nIf that's not enough, then they have to tell you to pay their bills.\nCheers,\nMark -\n""}]"
Don't wait any longer!,Spam,"[{'generated_text': 'Don\'t wait any longer!\nFrom: ""O\'Connell, Michael"" <<EMAIL>\nDate: December <NUMBER>, <NUMBER> at <NUMBER>:<NUMBER> PM\nTo: \'<EMAIL>'}]"
Do it now!,Spam,"[{'generated_text': 'Do it now!\nThe next chapter of ""Nancy/Jennifer"" comes in January <NUMBER>.\nThanks,\nJoanne,\nSara,\nJoanne\nSara,\nJoan\nSara\nJoanne Sent'}]"
