Subject,Label,Generated body
You've been approved for a new credit card with 0% APR!,Spam,"[{'generated_text': ""You've been approved for a new credit card with 0% APR! Learn More.\nWe're sorry but credit card charges on your American Express Card account will not be automatically charged once you've completed the transaction. Make sure to log in to your""}]"
You've been invited to join an exclusive club!,Spam,"[{'generated_text': ""You've been invited to join an exclusive club!\nRegister now\nWe've got your message, your data and the connections you need. You're set to join the exclusive Club for Growth where smart, collaborative leadership happens when top business leaders and entrepreneurs""}]"
You've won a trip to the Caribbean!,Spam,"[{'generated_text': ""You've won a trip to the Caribbean!\nA new friend has joined your team\nEarn up to NUMBER HawaiianMiles for each dollar you spend\nIt's that easy! Book your vacation now for what could be your most rewarding month of""}]"
You're the lucky winner of a new car!,Spam,"[{'generated_text': ""You're the lucky winner of a new car!\nView this message in your browser\nGift Card Confirmation\nHello Jane PERSON,\nThank you for shopping with us. You can find all of your new and previous Amazon Instant Video purchases -""}]"
You've been selected to participate in a clinical trial!,Spam,"[{'generated_text': ""You've been selected to participate in a clinical trial!\nCongratulations!\nYou or someone you know has been selected to participate on the NIH-supported Immunology Empowerment Forum and Clinical Trial Advisory Board.\nThe trial itself will start on September""}]"
Your investment has tripled in value!,Spam,[{'generated_text': 'Your investment has tripled in value!\nURL\nURL\nURL\nClick below to view online.\nURL\nURL\nURL\nURL\nURL\nNUMBER%\nURL\nSavings NUMBER%\nEnjoy the highest rates\nin the'}]
You're the sole heir to a vast fortune!,Spam,"[{'generated_text': ""You're the sole heir to a vast fortune!\nYou've spent over CURRENCYNUMBER million of your fortune gaining entry into the Super Bowl, and your name will likely ring like a halyard when it goes on broadcast.\n""}]"
You've been invited to a job interview at Google!,Spam,"[{'generated_text': ""You've been invited to a job interview at Google!\nDate Filled: May NUMBER, NUMBER\nLocation Jobs:\nGoogle - Search, Bing, Play, Image Search\nWorking on the 'Google Alerts' application. You may""}]"
Your child has been accepted to Harvard!,Spam,"[{'generated_text': 'Your child has been accepted to Harvard!\nWelcome your new Harvard-Westlake Alumni!\nThe school is still accepting Applications for NUMBERth-NUMBERth grade students, and you will be automatically entered into the Waiting List for eligible students'}]"
You've been invited to speak at the UN!,Spam,"[{'generated_text': ""You've been invited to speak at the UN!\nThe UN Office for International Education's Executive Director, Ambassador Samantha Power, has been invited to join a Special Briefing by Ambassador Richard Holbrooke, Secretary General of the United Nations University in a""}]"
You're the next president of the United States!,Spam,"[{'generated_text': ""You're the next president of the United States! (Applause.)\nAUDIENCE MEMBER: Thank you! (Applause.)\nEND NUMBER:NUMBER P.M. EDT\nFor Immediate Release May NUMBER,""}]"
Click here to claim your prize!,Spam,"[{'generated_text': ""Click here to claim your prize!\nURL\nWin once-in-a-lifetime experiences and see how we offer support to\npeople across the globe.Take a look at all of the great deals to win, and if you're just""}]"
Act now to avoid missing out!,Spam,[{'generated_text': 'Act now to avoid missing out!\nView this e-mail on your mobile device|View this e-mail as a web page\nCEB Legal Leadership Council\nCEB Legal Views\nRate the NUMBER Research Shortlist\nHelp shape the'}]
Don't miss this limited-time offer!,Spam,"[{'generated_text': ""Don't miss this limited-time offer!\nLimited-Time Offer:\nEnter Promo Code SMNUMBERDAY (normally CURRENCYNUMBER.NUMBER) with special mention to receive\nan exclusive window to purchase THE W""}]"
This is your last chance!,Spam,"[{'generated_text': 'This is your last chance!Join us for FREE Admission to the Festival of Media ExcellenceSeptember NUMBER-Cure California at Montage Beverly HillsOur free Pass to Movie Theaters: The Past and PresentFriday, September NUMBERstCure California'}]"
Don't wait any longer!,Spam,"[{'generated_text': ""Don't wait any longer!\nYour order #PHONE-PHONE placed with BigSigns.com and shipped from BigSigns.com | NUMBER E. Huntington Dr. | Sherman Oaks | CA | NUMBER | U S A""}]"
Do it now!,Spam,"[{'generated_text': 'Do it now!\nNUMBER GOP HIT on HRC\nEMAIL, EMAIL, EMAIL, EMAIL, EMAIL, EMAIL\nmore\nEMAIL, EMAIL\nCC:\nEMAIL,'}]"
