Subject,Label,Generated body
Click here to unsubscribe from our newsletter.,Ham,[{'generated_text': 'Click here to unsubscribe from our newsletter.\n= = = = = = = = = ='}]
Your bank account is overdrawn.,Spam,[{'generated_text': 'Your bank account is overdrawn.\nYour balance is <NUMBER>.\nYour account is charged'}]
Your account is about to be suspended.,Spam,[{'generated_text': 'Your account is about to be suspended.\nYour password is: <NUMBER>.\nYour account'}]
Verify your account.,Spam,[{'generated_text': 'Verify your account.\n<NUMBER>.\nPayment date: <NUMBER>/'}]
Update your account information.,Spam,"[{'generated_text': 'Update your account information.\nIf you are a UBSWenergy user, you may log in'}]"
Important security alert.,Spam,[{'generated_text': 'Important security alert.\nThe U.S. Department of Homeland Security is sending a security alert to'}]
Limited-time offer: Get 50% off all products!,Spam,[{'generated_text': 'Limited-time offer: Get 50% off all products!\n*FREE shipping on orders of <'}]
Free shipping on all orders over $50!,Spam,[{'generated_text': 'Free shipping on all orders over $50!\nPlease see the shipping information below.\n*Please'}]
New product release: The all-new iPhone 14!,Spam,[{'generated_text': 'New product release: The all-new iPhone 14!\nThe new iPhone 14 features a new camera'}]
You're pre-approved for a credit card!,Spam,"[{'generated_text': ""You're pre-approved for a credit card!\nYou've been approved for a credit card!""}]"
Apply now for a loan with low interest rates!,Spam,"[{'generated_text': 'Apply now for a loan with low interest rates!\nWe have loans that are low interest, no'}]"
Get a free quote on auto insurance!,Spam,[{'generated_text': 'Get a free quote on auto insurance!\n<NUMBER>.\nIf you are a <NUM'}]
Your social security number has been compromised.,Spam,[{'generated_text': 'Your social security number has been compromised.\nYour account has been suspended.\nYour password has been'}]
Your tax refund is ready!,Spam,[{'generated_text': 'Your tax refund is ready!\nWe have received your tax refund.\nYour refund is in the'}]
You've been selected for a jury duty.,Spam,"[{'generated_text': ""You've been selected for a jury duty.\nPlease advise if you are unable to participate.\n""}]"
You've been sued.,Spam,"[{'generated_text': ""You've been sued.\nYou've been told you have <NUMBER> days to respond.""}]"
You've been subpoenaed.,Spam,"[{'generated_text': ""You've been subpoenaed.\nYou've been asked to testify.\nYou've been asked to""}]"
Your car has been repossessed.,Spam,[{'generated_text': 'Your car has been repossessed.\nYour vehicle was purchased by a third party and is being'}]
Your house has been foreclosed on.,Spam,[{'generated_text': 'Your house has been foreclosed on.\nYour house is being sold.\nYour house is being'}]
You've been fired from your job.,Spam,"[{'generated_text': 'You\'ve been fired from your job.\nYou\'ve been told you\'re being terminated for ""gross'}]"
Your spouse is cheating on you.,Spam,[{'generated_text': 'Your spouse is cheating on you.\nYou are not alone.\nThere are others who are interested'}]
Your child is missing.,Spam,[{'generated_text': 'Your child is missing.\nYour child is in a foster care facility.\nYour child is in'}]
"Your bank account has been credited with $10,000!",Spam,"[{'generated_text': 'Your bank account has been credited with $10,000!\nYour account has been credited with <'}]"
You've been selected to receive a government grant!,Spam,"[{'generated_text': ""You've been selected to receive a government grant!\nPlease see the attached.\nIf you have""}]"
You're eligible for a free refund from the IRS!,Spam,"[{'generated_text': ""You're eligible for a free refund from the IRS!\nIf you owe the IRS money, you""}]"
Your credit score has improved by 50 points!,Spam,[{'generated_text': 'Your credit score has improved by 50 points!\nYour score has improved by <NUMBER> points'}]
You've been approved for a new credit card with 0% APR!,Spam,"[{'generated_text': ""You've been approved for a new credit card with 0% APR!\nYou've been approved for""}]"
You've been invited to join an exclusive club!,Spam,"[{'generated_text': ""You've been invited to join an exclusive club!\nJoin the <NUMBER> Club for a""}]"
You've won a trip to the Caribbean!,Spam,"[{'generated_text': ""You've won a trip to the Caribbean!\nPlease reply to this e-mail with your name""}]"
You're the lucky winner of a new car!,Spam,"[{'generated_text': ""You're the lucky winner of a new car!\nWe're pleased to announce that the following car""}]"
You've been selected to participate in a clinical trial!,Spam,"[{'generated_text': ""You've been selected to participate in a clinical trial!\nYour name will be entered into a drawing""}]"
Your investment has tripled in value!,Spam,[{'generated_text': 'Your investment has tripled in value!\nYou are now <NUMBER>% richer!\nHow'}]
You're the sole heir to a vast fortune!,Spam,"[{'generated_text': ""You're the sole heir to a vast fortune!\nYou've got a beautiful home in a great""}]"
You've been invited to a job interview at Google!,Spam,"[{'generated_text': ""You've been invited to a job interview at Google!\nIf you're interested in this position,""}]"
Your child has been accepted to Harvard!,Spam,[{'generated_text': 'Your child has been accepted to Harvard!\nCongratulations!\nYour child has been accepted to Harvard University'}]
You've been invited to speak at the UN!,Spam,"[{'generated_text': 'You\'ve been invited to speak at the UN!\nThe UN is hosting a conference on ""Energy'}]"
You're the next president of the United States!,Spam,"[{'generated_text': ""You're the next president of the United States!\nYou've been elected to the Presidency of the""}]"
Click here to claim your prize!,Spam,[{'generated_text': 'Click here to claim your prize!\nThe drawing for the <NUMBER>-year-old'}]
Act now to avoid missing out!,Spam,[{'generated_text': 'Act now to avoid missing out!\nSave up to <NUMBER>% on your travel!'}]
Don't miss this limited-time offer!,Spam,"[{'generated_text': ""Don't miss this limited-time offer!\nIf you are interested in learning more about the Benefits""}]"
This is your last chance!,Spam,[{'generated_text': 'This is your last chance!\nTo get your name in the drawing for the <NUMBER>'}]
Don't wait any longer!,Spam,"[{'generated_text': ""Don't wait any longer!\nSign up for the <COMPANY> Oral History Project today""}]"
Do it now!,Spam,[{'generated_text': 'Do it now!\nI have a new job.\nI am working for a company called E'}]
