Subject,Label,Generated body
You've been selected for a special offer!,Spam,"[{'generated_text': ""You've been selected for a special offer!\nView as Web page\nDiscover some of the best restaurants and cafes in the world\nDiscover some of the best restaurants and cafes in the world\nDiscover some of the best restaurants and cafes in the world\nDiscover some of the best restaurants and cafes in the world\nDiscover some of the best restaurants and cafes in the world\nFeatured Offers\nEspanol Grill\nNUMBER Aberlour""}]"
Don't miss out on our limited-time sale!,Spam,"[{'generated_text': ""Don't miss out on our limited-time sale!\nURL\nView this email in your browser\nJUST LISTED\nNUMBER NE NUMBERrd STREET\nOffered at CURRENCYNUMBER,NUMBER,NUMBER\nSituated on the corner of Market Street and Camden Drive(see map), this brand-new specualteRe:\nI'm on it.\nSent from my iPhone\n> On May NUMBER, NUMBER, at NUMBER:NUMBER""}]"
Act now and save 50% on all products!,Spam,"[{'generated_text': ""Act now and save 50% on all products!\nView this message in your browser eBay Money Back Guarantee\nURL\nURL\nURL\nURL\nURL\nURL American Airlines oneworld\nURL Reservations URL Redeem Miles URL My Account URL Deals\noneworld\nURL\nSave up to NUMBER% on Upfronts URL URL\nURL Hello Jane,\nAAdvantage URL Platinum Number: AKRNUMBER\nURL\nWe're excited to offer you the""}]"
Order now and get free shipping!,Spam,"[{'generated_text': 'Order now and get free shipping!\nEmail not displayed properly? View the online version\nShows Gifts Best Sellers Britannia Sale\nShows GiftsShop Now!\nBritish Isles Vs. Maleficent\nBritish Isles looks to have its sights set on Xmas. The NUMBER-year-old British physicist recently made the perilous journey to the Super Bowl to pitch his message to fans. ""I\'m humbled and beyond grateful to be on this'}]"
Subscribe to our newsletter and get 10% off your first purchase!,Spam,"[{'generated_text': 'Subscribe to our newsletter and get 10% off your first purchase! No reserve Ends unless otherwise specified.\nForward this emailThis email was sent to EMAIL by EMAIL | Update Profile/Email Address | Rapid removal with SafeUnsubscribe™️ | Privacy Policy.Gold Derby | NUMBER West End Ave.,#NUMBERW | New York | NY | NUMBERGoogle Alert - the Amazing spiderman NUMBER\nGoogle\nthe Amazing spiderman NUMBER\n'}]"
Click here to unsubscribe from our newsletter.,Ham,"[{'generated_text': 'Click here to unsubscribe from our newsletter.\nTo update your profile and customize what email alerts and newsletters you receive, please click here.\nHaving trouble reading this email? View the web version here.\nCopyright©️NUMBER Variety Media, LLC, a subsidiary of Penske Business Media.NUMBERSantaMonicaBlvd.LosAngeles,CANUMBER\nVariety and the Flying V logos are trademarks of Variety Media, LLC., used under license.'}]"
Your bank account is overdrawn.,Spam,"[{'generated_text': 'Your bank account is overdrawn.\nPlease call PHONE or go to o:\\companytown\\ansoledb\\COMPANY.com.\nThere should be no problem with your account.\nCredit checks will be taken out of the account balance every few minutes.\nIf you have questions, please call us at NUMBER-NUMBER-NUMBERor go to o:\\companytown\\ansoledb\\COMPANY.com.\nWe are located at PO Box NUMBER, New'}]"
Your account is about to be suspended.,Spam,"[{'generated_text': 'Your account is about to be suspended.\nSuspension is a violation of Business Rules and does not include warnings or an end of usage.\nTo suspend a business transaction, you must approve the transaction by following the directions of the sender, and log on to the Inbox to see the transaction summary and pager.\nIf you do not have a device, please contact the Billing Desk.\nWe will respond to your non-disclosure agreement upon receipt.\nThank you for'}]"
Verify your account.,Spam,"[{'generated_text': ""Verify your account.\nView this message in a browser Please add EMAIL to your address book to ensure properly delivery\nMarketing Update\nNUMBER Ways to Manage Subscription to Loyalty Programs\nIn the realm of marketing, loyalty is the cornerstone of a successful promotion. It's no secret that brands are faced with a variety of incentives, but one way or the other, marketers are faced with the same problem. That's why we're here to help you get the""}]"
Update your account information.,Spam,"[{'generated_text': 'Update your account information.\nIf you prefer not to continue receiving email communications, please unsubscribe here instead of replying to this email.\nHave a question?\nVisit our Help Center to find solutions for urgent calls.\n©️ NUMBER PricewaterhouseCoopers LLP, a Delaware limited liability partnership. All rights reserved.\nPwC refers to the US member firm, and may sometimes refer to the PwC network. Each member firm is a separate legal entity'}]"
Important security alert.,Spam,"[{'generated_text': 'Important security alert.\nThis email transmission, including any previous messages or attachments to it, contains information that may be proprietary, confidential and/or privileged. If you have received this transmission in error, please delete the original transmission without making copies, disclosing, distributing, saving or making use of it in any PERSONer (all of which acts are strictly prohibited), and so notify the sender by reply email @icmpartners.com.\nICM Partners archives and reviews outgoing and'}]"
Limited-time offer: Get 50% off all products!,Spam,"[{'generated_text': 'Limited-time offer: Get 50% off all products!\nEmail not displayed properly? View the online version\nShows Gifts Best Sellers Britannia Sale\nShows Gifts Best Sellers BritanniaRE: DRAFT: Just in case Pence endorses PERSON, we can use this\n\n\nEMAIL, EMAIL, EMAIL\nCC:\nEMAIL\n\n\nGreat, one ed.\n\n\n\nCc: Helmstetter,'}]"
Free shipping on all orders over $50!,Spam,"[{'generated_text': 'Free shipping on all orders over $50!\nURL\nTo celebrate the arrival of our newest addtition, add us to your address book or contacts.\nYou will LOVE the NUMBER-Piece Sneaker!\nThis is your chance to shop extra dipping amanites, crunchy Mojave pezzullo, smoky rosier salsa and more!\nPre-Order the Addtition by Tuesday, October NUMBER and receive CURRENCY'}]"
New product release: The all-new iPhone 14!,Spam,"[{'generated_text': 'New product release: The all-new iPhone 14!\nURL\nDEAR KAREN KEMMERLE: ""I wanted to introduce you to a company that I value more than you can say little about its products. They are innovators, fact-finders, visionaries, conglers... but more about them than about you. Why?"" TRUMP: ""Because I grew up in those markets and they build those markets and then we build them, and then we win big'}]"
You're pre-approved for a credit card!,Spam,"[{'generated_text': ""You're pre-approved for a credit card!\nView online options.\nIn addition to credit cards and checks, you can save time and money with regards to your credit cards used by ABB, Discover, American Express, Platinum, Xfinity, Ticket ID********** Full Name: State: Phone Number: Time to Call: Estimated Debt Size: ********** Thank you for your business.\nHave a question? Visit our Help Center.\n©️ NUM""}]"
Apply now for a loan with low interest rates!,Spam,"[{'generated_text': 'Apply now for a loan with low interest rates!\nView this message in your browser eBay Money Back Guarantee\nURL\nURL\nLendingTree.com\nURL\nURL Popular Websites URL Redeem Miles URL My Account URL Deals URL oneworld\nURL\nURLRE: Approval: NUMBER/NUMBER Social Batch NUMBER\n\n\nEMAIL, EMAIL, EMAIL\nCC:\nEMAIL, EMAIL\n\n\nGood for Jane\n\n\n'}]"
Get a free quote on auto insurance!,Spam,"[{'generated_text': ""Get a free quote on auto insurance!\nClick here to view this message in a browser window.\nURL\nSAVE THE DATE\nPre-Order The Secret Heart (NUMBER) Pre-Order The Strain (NUMBER)\nEMAIL, thank you for being our customer.\nDon't want the Eflash? Click here Follow Us: URL URL\nMovies Unlimited FREE U.S. SHIPPING! with any CURRENCYNUMBER.NUMBER order!*\nWhat""}]"
Your social security number has been compromised.,Spam,"[{'generated_text': 'Your social security number has been compromised.\nJessica Balsam\nCoordinator\nOffice of Russ Paris, SVP Post Production\nCOMPANY TriStar Motion Picture Group\nThalberg NUMBER\nPHONE Phone\nEMAIL\nAttachments:\n(NUMBER Bytes)FW: DILLON: APPROVE: Shot/chaser\n\n\nEMAIL, EMAIL\nCC:\nEMAIL, EMAIL\n\n\nReady for research.\nMark Pa'}]"
Your tax refund is ready!,Spam,"[{'generated_text': 'Your tax refund is ready!\nURL\nView this message in a browser Please add EMAIL to your address book to ensure properly delivery\nMarketing Update\nNUMBER Ways to Dethrone Millennials\nIn this ebook, savvy marketers facing challenges in digital marketing will learn how NUMBER methods of persuasion can subtly change the face of marketing.RE: Approval: NUMBER/NUMBER Social Batch NUMBER\n\n\nEMAIL, EMAIL, EMAIL'}]"
You've been selected for a jury duty.,Spam,"[{'generated_text': ""You've been selected for a jury duty.\nYour comments are welcomed and important:\nA full bench is required. We are committed to ensuring every dollar helps preserve exemplary integrity in the communities to which we are dedicated.\nBecome a juror and participate in the deliberibUSTEVENTS BELOW. These discussions will be embargoed for NUMBER HOURS, pending the outcome of the events of last week.\nCLICK HERE TO WATCH VIDEO\nCopyright ©️ NUM""}]"
You've been sued.,Spam,"[{'generated_text': ""You've been sued.\nJane PERSON\nDeputy Director\nOffice of the Chair\nPOLITICAL PARTYic National Committee\nOn May NUMBER, NUMBER, at NUMBER:NUMBER AM, Wei, Shu-Yen <EMAIL wrote:\nThis is an old scam. Anyone who seeks this money is targeted for elimination.\n---------- Forwarded message ----------\nHARVARD-WESTLAKE SCHOOL\nRichard\nB. Commons\nPresident\n""}]"
You've been subpoenaed.,Spam,"[{'generated_text': ""You've been subpoenaed.\nCome to a meeting on Wednesday and/or Thursday with the Director of Interviews.\nWe'll be discussing DMCA, Copyright Fair Use, Spoliation Not Discoveries and DMCA Hic et al v. RTA.\nPlease RSVP to EMAIL.\nDiane Sawyer, Communications Director\nPOLITICAL PARTYic National Committee\nPHONE - EMAIL - @ Diane Sawyer\nEMAIL - @DIJSA""}]"
Your car has been repossessed.,Spam,"[{'generated_text': ""Your car has been repossessed.\nCURRENCYNUMBER,NUMBER.NUMBER\nCURRENCYNUMBER,NUMBER.NUMBER\nCURRENCYNUMBERGoogle Alert - the Amazing spiderman NUMBER\nGoogle\nthe Amazing spiderman NUMBER\nAs-it-happens update April NUMBER, NUMBER\nNEWS\nURL\nScreen Rant\nMarc Webb's AMAZING SPIDER-MAN NUMBER Trailer Launches\nScreen R""}]"
Your house has been foreclosed on.,Spam,"[{'generated_text': 'Your house has been foreclosed on.\nPlease call our sales rep, Joanne Laszczych, at PHONE or email EMAIL.\nWe will assist you in the process.\nFor more information, contact Christa Wernick at PHONE or e-mail us at EMAIL.\nJason Oppenheim, Esq.\nPresident | The Oppenheim Group\nNUMBER Sunset Blvd. Suite NUMBER | Los Angeles, CA NUMBER\ncNUMBER'}]"
You've been fired from your job.,Spam,"[{'generated_text': ""You've been fired from your job.\nThis is no longer an issue. We appreciate your patience and understanding.\nJulie Kearney\nExecutive Director, AEG Live Asia\nCell: PHONE\nEMAIL\nKeep up with our Global Sports, Media and Entertainment Team on our linkedin page\nFollow DLA Piper at:\nClick to follow us on TwitterClick to follow us on LinkedInClick to follow us on FacebookClick to follow us on YouTubeClick to follow us""}]"
Your spouse is cheating on you.,Spam,"[{'generated_text': ""Your spouse is cheating on you.\nI'm sure it's too late to weigh in on this.\nThe fact is that NUMBER is going to be a tough time for you right now.\nJust be aware that your expectations were met for delivery of the message to Crestone L.A.\nThis is a message meant only for the use of the Addressee and may contain information that is privileged and confidential. If you are not the intended recipient, you are hereby notified that""}]"
Your child is missing.,Spam,"[{'generated_text': 'Your child is missing.\nPlease call PHONE before you print.\nAndrew Harper\nPO Box NUMBER\nBaltimore, MD NUMBER\nUnsubscribeEVENT: PERSON in Indianapolis NUMBER/NUMBER\n\n\nEMAIL\n\n\nRetail Stop with Carly Fiorina & Heidi PERSON\nMonday, April NUMBER\nNUMBER:NUMBER PM - NUMBER:NUMBER PM\nIndiana War Memorial Pershing Auditorium\nNUMBER N Meridian St\nIndianapolis'}]"
"Your bank account has been credited with $10,000!",Spam,"[{'generated_text': ""Your bank account has been credited with $10,000!\nThis should appear on your account in NUMBER hours if your credit card is charged at that time.\nDon't worry about the issuers or the funds you are sent from:\nAnthony Weinraub\nNUMBER Oakmont\nLos Angeles, CA NUMBER\nWire and Transfer Amount: CURRENCYNUMBER,NUMBER.NUMBER\nFirst Name: JULIE\nLast Name: WEINRAUB\nAddress""}]"
You've been selected to receive a government grant!,Spam,"[{'generated_text': ""You've been selected to receive a government grant!\nSent from my iPhone\nOn May NUMBER, NUMBER, at NUMBER:NUMBER PM, Claire Olszewski <EMAIL wrote:\nHi Jordan,\nCongratulations on your promotion! I wanted to let you know that I have received your application to the Skadden Arps SCOMPANYte Member Pre-Letter Member Entrance.\nThank you for your application to the Skadden Arps SCOMP""}]"
You're eligible for a free refund from the IRS!,Spam,"[{'generated_text': 'You\'re eligible for a free refund from the IRS!\nSent on the run\nOn May NUMBER, NUMBER, at NUMBER:NUMBER PM, ""Weil, Jane"" <EMAIL wrote:\nDo you want to be in the midst of all of this?\nBegin forwarded message:\nReply-\nSorry for the inconvenience, I am in Limassol, Cyprus for a week and I\njust misplaced my bag containing all my vital items, phone and\ncash.'}]"
Your credit score has improved by 50 points!,Spam,"[{'generated_text': 'Your credit score has improved by 50 points!\nURL\nView in your browser | Manage Preferences | Forward To A Friend | Report Abuse\nNUMBER Mahogany Lane, Copper Canyon, TX NUMBER, PHONE\nURL\nThe information contained in this e-mail message may be privileged, confidential and protected from disclosure. If you are not the intended recipient, any dissemination, distribution or copying is prohibited. If you think that you have received this e-mail message in error,'}]"
You've been approved for a new credit card with 0% APR!,Spam,"[{'generated_text': ""You've been approved for a new credit card with 0% APR!\nURL\nView in your browser | Manage Notifications | Forward To A Friend | Update Your Profile\nSent from TheWrap | NUMBER South Barrington Ave. | Los Angeles, CA NUMBER | attn: Email Coordinator\n©️ TheWrap NUMBERFW: DRAFT: Just in case Pence endorses PERSON, we can use this\n\n\nEMAIL, EMAIL, E""}]"
You've been invited to join an exclusive club!,Spam,"[{'generated_text': 'You\'ve been invited to join an exclusive club!\nSent from my iPhone\nOn NUMBER/NUMBER/NUMBER, NUMBER:NUMBER PM, ""PERSON, Jane"" wrote:\n>Me too\n>\n>Sent from my COMPANY Xperia ZNUMBER\n>\n>> On Sep NUMBER, NUMBER, at NUMBER:NUMBER PM, ""Watty, Ariya""\n>>wrote:\n>>\n>> You and a guest are invited to a private club\n'}]"
You've won a trip to the Caribbean!,Spam,"[{'generated_text': 'You\'ve won a trip to the Caribbean!\nsent on the run\n> On Aug NUMBER, NUMBER, at NUMBER:NUMBER PM, ""Van Amburg, Zack"" wrote:\n>\n> Tom,\n>\n> I wanted to follow up on our conversation a few weeks ago. Are you available to join the flight tomorrow? Itinerary doesn\'t say how long it will take, but it says so. Let me know.\n>\n> Thanks,'}]"
You're the lucky winner of a new car!,Spam,"[{'generated_text': ""You're the lucky winner of a new car!\nyou'll earn NUMBER miles and CURRENCYNUMBER,NUMBER in prize winners.\ndon't miss this opportunity to win a car or stay for a week in Los Angeles.\nt or play races on the Cahuenga nextdoor in L.A. or wherever you are.\nmake a plan to win and join the NUMBER mile range by July NUMBER.\niPoll your driver's name and/or""}]"
You've been selected to participate in a clinical trial!,Spam,"[{'generated_text': ""You've been selected to participate in a clinical trial!\nyou will receive a CURRENCYNUMBER reward for participating in the experimental treatment.\ntors have NUMBER days to go before your trial is over.your mailbox has exceeded one or more size limits set by your administrator.\nYour mailbox size is NUMBER KB.\nMailbox size limits: You will receive a warning when your mailbox reaches NUMBER KB.\nYou cannot send mail when your mailbox reaches NUM""}]"
Your investment has tripled in value!,Spam,"[{'generated_text': 'Your investment has tripled in value!\nView this message in your browser eBay Money Back Guarantee\nURL\nURL eBay Coins URL Stocks URL Funds Back Guarantee\nURL\nURL NUMBERnd GenRE: Approval: NUMBER/NUMBER Social Batch NUMBER\n\n\nEMAIL, EMAIL, EMAIL\nCC:\nEMAIL, EMAIL\n\n\nGood by me.\n\n\n\nCc: PERSON, PERSON; EMAIL\n'}]"
You're the sole heir to a vast fortune!,Spam,"[{'generated_text': ""You're the sole heir to a vast fortune!\nyou, PERSON, are the next inhersuspect to inherit the FortuneTales™️ franchise.\non top of your FortuneTales™️ franchises across NUMBER world premieres and half-Hour Celebrity Apprentice tours worldwide.\nyour destiny is in your hands. iFlix's FURY Premiere takes you to the world premiere of FURY, followed by a recap of""}]"
You've been invited to a job interview at Google!,Spam,"[{'generated_text': 'You\'ve been invited to a job interview at Google!\nyou should RSVP to EMAIL\nJane PERSON\nBlockblitz is working your computer screens to keep visitors coming for Google\'s ""everything"" site. iJob. Google will reopen Monday, January NUMBER, NUMBER. We will reopen on or after January NUMBER, NUMBER. The resume you shared with Glynn was provided by someone els whom you bCOMPANYciously avoided.\nAttachments:'}]"
Your child has been accepted to Harvard!,Spam,"[{'generated_text': ""Your child has been accepted to Harvard!\nThis is the email you can access at the HW PPERSONg Stalbauer PPERSONg Building NUMBER Mandeville Canyon Road, San Luis Obispo, CA NUMBER (PHONE).\nYou will need to log in to access the PPERSONg Building as soon as possible to verify your child's grade.\nThank you,\nHarvard Homecoming Coordinator\n________________________________________________________________________\nClick here to unsubscribe from this mailingGoogle""}]"
You've been invited to speak at the UN!,Spam,"[{'generated_text': ""You've been invited to speak at the UN!\nSent from my iPhone\nOn May NUMBER, NUMBER, at NUMBER:NUMBER PM, Bernie Weinraub <EMAIL wrote:\nyou are invited?\nBegin forwarded message:\nAnthony Weinraub\nJenner & Block LLP\nNUMBER Century Park East, Suite NUMBER\nLos Angeles, CA NUMBER-NUMBER\nPHONE - direct\nPHONE - fax\nEMAIL\nURL\n_____\n""}]"
You're the next president of the United States!,Spam,"[{'generated_text': ""You're the next president of the United States!\n-----Original Message-----\nHow are you? Hope all is well.\nI'm in LA for a few days this week and next. What's your schedule for the week?\nXoxo\nSent from my iPhone\n> On Nov NUMBER, NUMBER, at NUMBER:NUMBER PM, PERSON, Jane wrote:\n>\n> You guys are killing me\n> I need to talk to jimmy\n> Can""}]"
Click here to claim your prize!,Spam,"[{'generated_text': 'Click here to claim your prize!\nPOLITICAL PARTYs will appear at the POLITICAL PARTYic National Convention and take place in Wilmington, DE. This is your opportunity to be part of the party and show your support for the values you share.\nWe look forward to seeing you in Philadelphia June NUMBER-NUMBER, and celebrating with you and your friends.\nZack and Jamie\nZack Juceam | WME\nEMAIL\nPHONEBre'}]"
Act now to avoid missing out!,Spam,"[{'generated_text': ""Act now to avoid missing out!\nThis year's Paperless Post Holiday Party will take place on Saturday, December NUMBERth from NUMBER:NUMBER to NUMBER:NUMBER at Whiskey Park Grill, located at NUMBER Essex Lane, San Francisco.\nClick here to register your reply to be removed from Paperless Post mail.\nPaid for by News Corp., No.\nNUMBER, and not authorized by any candidate or candidate's committee.\nNUMBER Wilshire Blvd""}]"
Don't miss this limited-time offer!,Spam,"[{'generated_text': ""Don't miss this limited-time offer!\nWe have NUMBER limited tickets for CURRENCYNUMBER.NUMBER each for a total savings of CURRENCYNUMBER.NUMBER!\nPlus, you'll get an EXTRA CURRENCYNUMBER.NUMBER OFF the GRAND Bazaar PLUS getaway!\nBook your place now and don't wait!\nCLICK HERE to go to the sale!\nNUMBERs and NUMBERs of Trickle Wives at""}]"
This is your last chance!,Spam,"[{'generated_text': 'This is your last chance!\nOn NUMBER/NUMBER/NUMBER NUMBER:NUMBER PM, ""PERSON, Jane"" wrote:\n>WHAT IS THIS MONTH WEEEK\n>WHICH I SHOULD TALK TO JIMMY KIMMEL ON FRIDAY\n>AMERICAN HUSTLE\n>SATURDAY\n>GOOD MORNING AMERICA\n>DAWN PLANET APES\n>AND SO IT GOES\n>A'}]"
Don't wait any longer!,Spam,"[{'generated_text': ""Don't wait any longer!\nSent from my iPhone\nOn May NUMBER, NUMBER, at NUMBER:NUMBER PM, Claire Olszewski <EMAIL wrote:\nOUT CALLS, NUMBER/NUMBER/NUMBER NUMBER:NUMBER PM, David Spade, (Business) PHONE,\nIN CALLS, NUMBER/NUMBER/NUMBER NUMBER:NUMBER PM, Sheraton Kalouria, (Business) PHONE, pls call\nIN CALL""}]"
Do it now!,Spam,"[{'generated_text': 'Do it now!\nBegin forwarded message:\nCc: ""EMAIL"" <EMAIL, ""EMAIL"" <EMAIL, Stephanie Wank (EMAIL) <EMAIL, Stephanie Wank (EMAIL)\nJane,\nCongratulations on the well-deserved Emmy nominees! We look forward to seeing you next week!\nBest,\nStephanie\nSTEPFOR COMMS REVIEW: DWS ON YOM HA SHOAH\n\n\n'}]"
